username,text,retweets,favorites,timestamp
@eubarbado,"Mas não é. O bem e o mal não são divididos por uma linha tênue, eles estão em uma mistureba quase homogênea, o que muda é o referencial.",0,0,Jun 13
@LucieneRochac,Valeu galera! Obrigada por aceitarem ao nosso chamado para ouvir a rádio Mistureba online. Aos poucos chegaremos... http://fb.me/18g2Itp73 ,0,0,Jun 13
@juliafaagundes,"agr pra tarde quentão , caldo , canjica , forrozão comendo kkkk , cachaça , caipirinha , cada mistureba ",0,0,Jun 13
@Daicarioca,Faço cada mistureba na cozinha kkk pior que fica bom,0,0,Jun 13
@ppeterpan_,Na vdd sou uma mistureba do crl,0,0,Jun 13
@TDMusica,"Entrevista | Golden Duck Orchestra: Mistureba, mas sempre com uma base rock http://tdmusi.ca/noticias/?c=41776 …",0,0,Jun 13
@Lalyfreiree,"Eita caraia, fiz uma mistureba pro cabelo bem massa",0,0,Jun 13
@prolyxa,@daaniiies há seis só com ele. O resto é mistureba,0,0,Jun 13
@Nninhavs,"Que mistureba. 
Senti falta dos meus capopes e de patd",0,1,Jun 13
@00h00pm,Ache aipim... Manooo fiz uma mistureba de coisa q fico mt mara ,0,0,Jun 13
@willromanoo,Mano a mesma coisa de sempre! Uma mistureba de games.,0,0,Jun 13
@ladyrasta,Acho essa mistureba o máximo. E me faz achar que minha avó tá comigo.,0,1,Jun 13
@severineserizy_,@JornalOGlobo Onde aqui tem racismo? Mistureba de gente malemolente e ruim como o diabo...,1,0,Jun 13
@blogdonaraposa,Texto sobre a estreia da 7º temporada de #PrettyLittleLiars para o @sitemistureba  http://bit.ly/1PUfB1g pic.twitter.com/tEFAZnWBo3,0,0,Jun 13
@Angelmix2015,Eu não conseguiria comer esse jantar meldels muita mistureba credo #maisvoce,1,1,Jun 13
@lais_handow,"@CaarolEscher kkkkkkkkkkkkkkkkkkk, culpa as mistureba",0,1,Jun 13
@mfapsue_,"Gostei da mistureba de musicas da semana, conheci várias coisas novas, algumas podreras, outros mto bom, até screamo estou ouvindo O.o",0,0,Jun 13
@Gabibatista18Gb,"Levantei , fiz uma mistureba aqui pra mim e vivi .. Tá uma delicia ",0,1,Jun 12
@biaasanc1,"@lucarellifrom claro q sim, maior mistureba hsusshsh",0,0,Jun 12
@richardkevin10,"cara... o individual da seleção ta longe de ser ruim.
ta perdendo pra uma mistureba do PERU. hahahahahahah pqp",0,0,Jun 12
@rodrigosandiniz,Pizza a moda é uma mistureba boa demais,1,2,Jun 12
@Panzzzanha,Amo essas gororobas que meus pais fazem kkk mistureba ,0,0,Jun 12
@LuizaMiele,Kiu @ Mistureba Delivery https://www.instagram.com/p/BGk5BrmNHoX/ ,0,1,Jun 12
@dram4tico,"indie, rock, pop, uma mistureba https://twitter.com/selectionado/status/742130474894659584 …",0,0,Jun 12
@Lilith__Scarlet,@revoltalol q mistureba foi essa '=' kkkkkk,0,0,Jun 12
@ysaak_jesus,"@EVERSONZOlO Fala zoio. Desafio vc a fazer uma mistureba de leite,óleo,nescau,água,bicarbonato de sódio,sal e Red bull !!!!Mande um salve!!",0,0,Jun 12
@karenmmaia,meu pai fez uma vitamina muito ruim socorro que mistureba,0,0,Jun 12
@monstaexo,"@monstvx poisé, tem isso tbm, vai ser uma mistureba braba, acho que será confuso no inicio mesmo, mas depois a gente se acostuma",0,0,Jun 12
@RockOnlineBR,"Entrevista | Golden Duck Orchestra: Mistureba, mas sempre com uma base rock http://rock.tips/noticias/?c=41776 …",0,0,Jun 12
@jhonpetter_,Açaí natural é tudo  agora imagino essa mistureba dela  #AdotadaMTV,0,1,Jun 12
@VladsonAjala,"@vitorvwerle é uma mistureba. Hoje mesmo teve Uns & Outros. Já teve Yahoo, várias bandas das décadas de 80, 90. Mas tua crítica é válida",0,0,Jun 12
